"","Accession","Description"
"7400","B1AR13","CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Cisd3 PE=1 SV=1"
"7401","Q70KY4","Forkhead box protein O6 OS=Mus musculus OX=10090 GN=Foxo6 PE=1 SV=1"
"7402","O70333","Cysteine-rich PDZ-binding protein OS=Mus musculus OX=10090 GN=Cript PE=1 SV=1"
"7403","E9PXT9","Protein FAM170B OS=Mus musculus OX=10090 GN=Fam170b PE=1 SV=1"
"7404","Q3UFY8","tRNA methyltransferase 10 homolog C OS=Mus musculus OX=10090 GN=Trmt10c PE=1 SV=2"
"7405","Q9Z2W0","Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2"
"7406","Q8K3G9","DCC-interacting protein 13-beta OS=Mus musculus OX=10090 GN=Appl2 PE=1 SV=1"
"7407","Q9D0F3","Protein ERGIC-53 OS=Mus musculus OX=10090 GN=Lman1 PE=1 SV=1"
"7408","Q8VD66","Protein ABHD4 OS=Mus musculus OX=10090 GN=Abhd4 PE=1 SV=1"
"7409","Q8VIK5","Platelet endothelial aggregation receptor 1 OS=Mus musculus OX=10090 GN=Pear1 PE=1 SV=1"
"7410","Q9CQY5","Magnesium transporter protein 1 OS=Mus musculus OX=10090 GN=Magt1 PE=1 SV=1"
"7411","Q9CW79","Golgin subfamily A member 1 OS=Mus musculus OX=10090 GN=Golga1 PE=1 SV=2"
"7412","Q64331","Unconventional myosin-VI OS=Mus musculus OX=10090 GN=Myo6 PE=1 SV=1"
"7413","Q60855","Receptor-interacting serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Ripk1 PE=1 SV=1"
"7414","Q3UVG3","Protein FAM91A1 OS=Mus musculus OX=10090 GN=Fam91a1 PE=1 SV=1"
"7415","Q8BYR1","tRNA wybutosine-synthesizing protein 4 OS=Mus musculus OX=10090 GN=Lcmt2 PE=2 SV=4"
"7416","Q9JIY5","Serine protease HTRA2, mitochondrial OS=Mus musculus OX=10090 GN=Htra2 PE=1 SV=2"
"7417","Q8BHN1","Gamma-taxilin OS=Mus musculus OX=10090 GN=Txlng PE=1 SV=1"
"7418","Q5U4D9","THO complex subunit 6 homolog OS=Mus musculus OX=10090 GN=Thoc6 PE=1 SV=1"
"7419","Q9DB16","Calcium-binding protein 39-like OS=Mus musculus OX=10090 GN=Cab39l PE=1 SV=3"
"7420","Q8CDM8","Protein FAM160B1 OS=Mus musculus OX=10090 GN=Fam160b1 PE=1 SV=2"
"7421","Q8VDP6","CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Mus musculus OX=10090 GN=Cdipt PE=1 SV=1"
"7422","Q8BX09","Retinoblastoma-binding protein 5 OS=Mus musculus OX=10090 GN=Rbbp5 PE=1 SV=2"
"7423","Q3TZX8","Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Mus musculus OX=10090 GN=Nol9 PE=1 SV=1"
"7424","P61971","Nuclear transport factor 2 OS=Mus musculus OX=10090 GN=Nutf2 PE=1 SV=1"
"7425","Q9D1A0","Peroxiredoxin-like 2C OS=Mus musculus OX=10090 GN=Prxl2c PE=2 SV=1"
"7426","Q8BLX7","Collagen alpha-1(XVI) chain OS=Mus musculus OX=10090 GN=Col16a1 PE=1 SV=2"
"7427","Q8BMS9","Ras association domain-containing protein 2 OS=Mus musculus OX=10090 GN=Rassf2 PE=1 SV=1"
"7428","Q9CR96","Transmembrane protein 208 OS=Mus musculus OX=10090 GN=Tmem208 PE=2 SV=1"
"7429","Q64362","AKT-interacting protein OS=Mus musculus OX=10090 GN=Aktip PE=1 SV=1"
"7430","Q9R0M0","Cadherin EGF LAG seven-pass G-type receptor 2 OS=Mus musculus OX=10090 GN=Celsr2 PE=1 SV=3"
"7431","P43136","Nuclear receptor subfamily 2 group F member 6 OS=Mus musculus OX=10090 GN=Nr2f6 PE=1 SV=2"
"7432","Q9D3F7","DNA damage-inducible transcript 4 protein OS=Mus musculus OX=10090 GN=Ddit4 PE=1 SV=1"
"7433","Q91Z83","Myosin-7 OS=Mus musculus OX=10090 GN=Myh7 PE=2 SV=1"
"7434","Q9EQH4","Transcription initiation factor TFIID subunit 8 OS=Mus musculus OX=10090 GN=Taf8 PE=2 SV=1"
"7435","Q9CZX8","40S ribosomal protein S19 OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=3"
"7436","Q5DTJ9","Myopalladin OS=Mus musculus OX=10090 GN=Mypn PE=1 SV=2"
"7437","Q9D2R0","Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 GN=Aacs PE=1 SV=1"
"7438","P51912","Neutral amino acid transporter B(0) OS=Mus musculus OX=10090 GN=Slc1a5 PE=1 SV=2"
"7439","E9PZJ8","Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus OX=10090 GN=Ascc3 PE=1 SV=1"
"7440","cRAP012","Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2"
"7441","Q9JIW5","Mothers against decapentaplegic homolog 9 OS=Mus musculus OX=10090 GN=Smad9 PE=1 SV=2"
"7442","Q8BHD7","Polypyrimidine tract-binding protein 3 OS=Mus musculus OX=10090 GN=Ptbp3 PE=1 SV=1"
"7443","Q91WG8","Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase OS=Mus musculus OX=10090 GN=Gne PE=1 SV=1"
"7444","P15864","Histone H1.2 OS=Mus musculus OX=10090 GN=Hist1h1c PE=1 SV=2"
"7445","P60469","Liprin-alpha-3 OS=Mus musculus OX=10090 GN=Ppfia3 PE=1 SV=2"
"7446","Q9WVA2","Mitochondrial import inner membrane translocase subunit Tim8 A OS=Mus musculus OX=10090 GN=Timm8a1 PE=1 SV=1"
"7447","P54818","Galactocerebrosidase OS=Mus musculus OX=10090 GN=Galc PE=1 SV=2"
"7448","Q5SW19","Clustered mitochondria protein homolog OS=Mus musculus OX=10090 GN=Cluh PE=1 SV=2"
"7449","Q80XC2","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A OS=Mus musculus OX=10090 GN=Trmt61a PE=1 SV=1"
"7450","Q8BUE7","Mucin-20 OS=Mus musculus OX=10090 GN=Muc20 PE=1 SV=1"
"7451","P70697","Uroporphyrinogen decarboxylase OS=Mus musculus OX=10090 GN=Urod PE=1 SV=2"
"7452","Q9D3E6","Cohesin subunit SA-1 OS=Mus musculus OX=10090 GN=Stag1 PE=1 SV=3"
"7453","Q6P2K6","Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Mus musculus OX=10090 GN=Ppp4r3a PE=1 SV=1"
"7454","Q5DTU0","Actin filament-associated protein 1-like 2 OS=Mus musculus OX=10090 GN=Afap1l2 PE=1 SV=2"
"7455","Q80ZU4","Small integral membrane protein 19 OS=Mus musculus OX=10090 GN=Smim19 PE=1 SV=2"
"7456","Q9D684","Ras and Rab interactor 2 OS=Mus musculus OX=10090 GN=Rin2 PE=1 SV=3"
"7457","Q8CGF7","Transcription elongation regulator 1 OS=Mus musculus OX=10090 GN=Tcerg1 PE=1 SV=2"
"7458","O88572","Low-density lipoprotein receptor-related protein 6 OS=Mus musculus OX=10090 GN=Lrp6 PE=1 SV=1"
"7459","Q8VHE0","Translocation protein SEC63 homolog OS=Mus musculus OX=10090 GN=Sec63 PE=1 SV=4"
"7460","Q8VHX6","Filamin-C OS=Mus musculus OX=10090 GN=Flnc PE=1 SV=3"
"7461","Q5SV80","Unconventional myosin-XIX OS=Mus musculus OX=10090 GN=Myo19 PE=1 SV=1"
"7462","Q9ESN9","C-Jun-amino-terminal kinase-interacting protein 3 OS=Mus musculus OX=10090 GN=Mapk8ip3 PE=1 SV=1"
"7463","P0DN34","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 OS=Mus musculus OX=10090 GN=Ndufb1 PE=1 SV=1"
"7464","Q9WU00","Nuclear respiratory factor 1 OS=Mus musculus OX=10090 GN=Nrf1 PE=1 SV=2"
"7465","Q3U4H6","Hexosaminidase D OS=Mus musculus OX=10090 GN=Hexd PE=1 SV=1"
"7466","Q4LDD4","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Arap1 PE=1 SV=2"
"7467","Q64FW2","All-trans-retinol 13,14-reductase OS=Mus musculus OX=10090 GN=Retsat PE=1 SV=3"
"7468","Q80U93","Nuclear pore complex protein Nup214 OS=Mus musculus OX=10090 GN=Nup214 PE=1 SV=2"
"7469","Q0VG62","Ribosomal biogenesis factor OS=Mus musculus OX=10090 GN=Rbis PE=1 SV=2"
"7470","P08113","Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2"
"7471","P03911","NADH-ubiquinone oxidoreductase chain 4 OS=Mus musculus OX=10090 GN=Mtnd4 PE=1 SV=1"
"7472","Q9DC63","F-box only protein 3 OS=Mus musculus OX=10090 GN=Fbxo3 PE=1 SV=1"
"7473","Q8CIA5","UDP-xylose and UDP-N-acetylglucosamine transporter OS=Mus musculus OX=10090 GN=Slc35b4 PE=2 SV=2"
"7474","Q91V36","Nuclear receptor-binding protein 2 OS=Mus musculus OX=10090 GN=Nrbp2 PE=1 SV=2"
"7475","Q4KML4","Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1"
"7476","Q6PGH1","Protein BUD31 homolog OS=Mus musculus OX=10090 GN=Bud31 PE=1 SV=2"
"7477","P50431","Serine hydroxymethyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Shmt1 PE=1 SV=3"
"7478","Q9D8H7","Metalloendopeptidase OMA1, mitochondrial OS=Mus musculus OX=10090 GN=Oma1 PE=1 SV=1"
"7479","P46662","Merlin OS=Mus musculus OX=10090 GN=Nf2 PE=1 SV=2"
"7480","P14142","Solute carrier family 2, facilitated glucose transporter member 4 OS=Mus musculus OX=10090 GN=Slc2a4 PE=1 SV=3"
"7481","Q8CFY5","Protoheme IX farnesyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Cox10 PE=2 SV=1"
"7482","Q9DBU0","Transmembrane 9 superfamily member 1 OS=Mus musculus OX=10090 GN=Tm9sf1 PE=2 SV=2"
"7483","Q9D8C4","Interferon-induced 35 kDa protein homolog OS=Mus musculus OX=10090 GN=Ifi35 PE=1 SV=3"
"7484","Q811B3","A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2"
"7485","Q8BRG8","Transmembrane protein 209 OS=Mus musculus OX=10090 GN=Tmem209 PE=2 SV=1"
"7486","P97386","DNA ligase 3 OS=Mus musculus OX=10090 GN=Lig3 PE=1 SV=2"
"7487","Q78YZ6","Short coiled-coil protein OS=Mus musculus OX=10090 GN=Scoc PE=1 SV=1"
"7488","Q571F8","Glutaminase liver isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls2 PE=1 SV=2"
"7489","Q8BTU1","Cilia- and flagella-associated protein 20 OS=Mus musculus OX=10090 GN=Cfap20 PE=1 SV=1"
"7490","Q8BN57","Protein C3orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1"
"7491","Q9D7F7","Charged multivesicular body protein 4c OS=Mus musculus OX=10090 GN=Chmp4c PE=2 SV=1"
"7492","P59048","p53 and DNA damage-regulated protein 1 OS=Mus musculus OX=10090 GN=Pdrg1 PE=2 SV=1"
"7493","Q80YV2","Nuclear-interacting partner of ALK OS=Mus musculus OX=10090 GN=Zc3hc1 PE=1 SV=1"
"7494","P35710","Transcription factor SOX-5 OS=Mus musculus OX=10090 GN=Sox5 PE=1 SV=2"
"7495","Q8R3C0","Mini-chromosome maintenance complex-binding protein OS=Mus musculus OX=10090 GN=Mcmbp PE=1 SV=1"
"7496","Q9DA69","Intraflagellar transport protein 43 homolog OS=Mus musculus OX=10090 GN=Ift43 PE=1 SV=2"
"7497","Q922H9","Zinc finger protein 330 OS=Mus musculus OX=10090 GN=Znf330 PE=1 SV=1"
"7498","Q99LQ7","Transmembrane protein 189 OS=Mus musculus OX=10090 GN=Tmem189 PE=1 SV=1"
"7499","Q8BGI5","Peroxisome assembly protein 26 OS=Mus musculus OX=10090 GN=Pex26 PE=1 SV=2"
"7500","Q61508","Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2"
"7501","P02802","Metallothionein-1 OS=Mus musculus OX=10090 GN=Mt1 PE=1 SV=1"
"7502","Q91WK1","SPRY domain-containing protein 4 OS=Mus musculus OX=10090 GN=Spryd4 PE=1 SV=1"
"7503","Q91XC8","Death-associated protein 1 OS=Mus musculus OX=10090 GN=Dap PE=1 SV=3"
"7504","Q2TBE6","Phosphatidylinositol 4-kinase type 2-alpha OS=Mus musculus OX=10090 GN=Pi4k2a PE=1 SV=1"
"7505","Q8VEG6","CCR4-NOT transcription complex subunit 6-like OS=Mus musculus OX=10090 GN=Cnot6l PE=1 SV=2"
"7506","Q8C3X8","Lipase maturation factor 2 OS=Mus musculus OX=10090 GN=Lmf2 PE=1 SV=1"
"7507","P62192","26S proteasome regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmc1 PE=1 SV=1"
"7508","Q9CY57","Chromatin target of PRMT1 protein OS=Mus musculus OX=10090 GN=Chtop PE=1 SV=2"
"7509","P42669","Transcriptional activator protein Pur-alpha OS=Mus musculus OX=10090 GN=Pura PE=1 SV=1"
"7510","Q8VC85","U6 snRNA-associated Sm-like protein LSm1 OS=Mus musculus OX=10090 GN=Lsm1 PE=1 SV=1"
"7511","O70566","Protein diaphanous homolog 2 OS=Mus musculus OX=10090 GN=Diaph2 PE=1 SV=2"
"7512","Q3TAP4","AP-5 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap5b1 PE=1 SV=1"
"7513","Q8VC65","Nurim OS=Mus musculus OX=10090 GN=Nrm PE=1 SV=1"
"7514","Q9DCG2","CD302 antigen OS=Mus musculus OX=10090 GN=Cd302 PE=1 SV=2"
"7515","P03930","ATP synthase protein 8 OS=Mus musculus OX=10090 GN=Mtatp8 PE=1 SV=1"
"7516","Q9D051","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Pdhb PE=1 SV=1"
"7517","Q7TT45","Ras-related GTP-binding protein D OS=Mus musculus OX=10090 GN=Rragd PE=1 SV=2"
"7518","P0C1Q2","Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A OS=Mus musculus OX=10090 GN=Pde11a PE=1 SV=1"
"7519","Q61025","Intraflagellar transport protein 20 homolog OS=Mus musculus OX=10090 GN=Ift20 PE=1 SV=1"
"7520","Q7TMA2","Zinc finger protein 503 OS=Mus musculus OX=10090 GN=Znf503 PE=1 SV=1"
"7521","Q64010","Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1"
"7522","Q80SU7","Interferon-induced very large GTPase 1 OS=Mus musculus OX=10090 GN=Gvin1 PE=1 SV=1"
"7523","O54967","Activated CDC42 kinase 1 OS=Mus musculus OX=10090 GN=Tnk2 PE=1 SV=2"
"7524","Q8R5A6","TBC1 domain family member 22A OS=Mus musculus OX=10090 GN=Tbc1d22a PE=1 SV=3"
"7525","P97814","Proline-serine-threonine phosphatase-interacting protein 1 OS=Mus musculus OX=10090 GN=Pstpip1 PE=1 SV=1"
"7526","F6SEU4","Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus OX=10090 GN=Syngap1 PE=1 SV=2"
"7527","P58281","Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus OX=10090 GN=Opa1 PE=1 SV=1"
"7528","Q8CH62","Protein LTO1 homolog OS=Mus musculus OX=10090 GN=Lto1 PE=1 SV=1"
"7529","Q99LC9","Peroxisome assembly factor 2 OS=Mus musculus OX=10090 GN=Pex6 PE=1 SV=1"
"7530","A2AX52","Collagen alpha-4(VI) chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2"
"7531","Q99LG2","Transportin-2 OS=Mus musculus OX=10090 GN=Tnpo2 PE=1 SV=1"
"7532","P27811","Killer cell lectin-like receptor subfamily B member 1A OS=Mus musculus OX=10090 GN=Klrb1a PE=1 SV=2"
"7533","Q3UNX5","Acyl-coenzyme A synthetase ACSM3, mitochondrial OS=Mus musculus OX=10090 GN=Acsm3 PE=1 SV=2"
"7534","Q9D0J8","Parathymosin OS=Mus musculus OX=10090 GN=Ptms PE=1 SV=3"
"7535","Q04899","Cyclin-dependent kinase 18 OS=Mus musculus OX=10090 GN=Cdk18 PE=1 SV=1"
"7536","Q9WVQ5","Methylthioribulose-1-phosphate dehydratase OS=Mus musculus OX=10090 GN=Apip PE=1 SV=1"
"7537","O35143","ATPase inhibitor, mitochondrial OS=Mus musculus OX=10090 GN=ATP5IF1 PE=1 SV=2"
"7538","Q9CPT3","N-acylneuraminate-9-phosphatase OS=Mus musculus OX=10090 GN=Nanp PE=1 SV=1"
"7539","Q3UHX2","28 kDa heat- and acid-stable phosphoprotein OS=Mus musculus OX=10090 GN=Pdap1 PE=1 SV=1"
"7540","Q6PDG8","Vacuolar fusion protein MON1 homolog A OS=Mus musculus OX=10090 GN=Mon1a PE=1 SV=3"
"7541","Q8K385","Ferric-chelate reductase 1 OS=Mus musculus OX=10090 GN=FRRS1 PE=1 SV=1"
"7542","Q8K0L3","Acyl-coenzyme A synthetase ACSM2, mitochondrial OS=Mus musculus OX=10090 GN=Acsm2 PE=1 SV=1"
"7543","Q8BVR6","RING finger and SPRY domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rspry1 PE=1 SV=1"
"7544","Q9D9C7","Uncharacterized protein C3orf62 homolog OS=Mus musculus OX=10090 PE=1 SV=1"
"7545","P05202","Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1"
"7546","O35153","BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1"
"7547","cRAP041","Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"
"7548","Q91W69","Epsin-3 OS=Mus musculus OX=10090 GN=Epn3 PE=1 SV=1"
"7549","Q07113","Cation-independent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=Igf2r PE=1 SV=1"
"7550","P53986","Monocarboxylate transporter 1 OS=Mus musculus OX=10090 GN=Slc16a1 PE=1 SV=1"
"7551","Q9QYF1","Retinol dehydrogenase 11 OS=Mus musculus OX=10090 GN=Rdh11 PE=1 SV=2"
"7552","Q9R112","Sulfide:quinone oxidoreductase, mitochondrial OS=Mus musculus OX=10090 GN=Sqor PE=1 SV=3"
"7553","Q9CSB4","Partitioning defective 3 homolog B OS=Mus musculus OX=10090 GN=Pard3b PE=1 SV=2"
"7554","Q8JZZ7","Adhesion G protein-coupled receptor L2 OS=Mus musculus OX=10090 GN=Adgrl2 PE=1 SV=3"
"7555","O35218","Cleavage and polyadenylation specificity factor subunit 2 OS=Mus musculus OX=10090 GN=Cpsf2 PE=1 SV=1"
"7556","Q99PM3","Transcription initiation factor IIA subunit 1 OS=Mus musculus OX=10090 GN=Gtf2a1 PE=1 SV=2"
"7557","P54869","Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcs2 PE=1 SV=2"
"7558","G3UYX5","Regulator of G-protein signaling 22 OS=Mus musculus OX=10090 GN=Rgs22 PE=1 SV=1"
"7559","Q61655","ATP-dependent RNA helicase DDX19A OS=Mus musculus OX=10090 GN=Ddx19a PE=1 SV=2"
"7560","A6X8Z5","Rho GTPase-activating protein 31 OS=Mus musculus OX=10090 GN=Arhgap31 PE=1 SV=1"
"7561","Q9CZJ1","Probable U3 small nucleolar RNA-associated protein 11 OS=Mus musculus OX=10090 GN=Utp11 PE=2 SV=1"
"7562","Q8VE80","THO complex subunit 3 OS=Mus musculus OX=10090 GN=Thoc3 PE=2 SV=1"
"7563","P35276","Ras-related protein Rab-3D OS=Mus musculus OX=10090 GN=Rab3d PE=1 SV=1"
"7564","Q9JMG3","Transmembrane and ubiquitin-like domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tmub1 PE=1 SV=1"
"7565","Q9D113","DNL-type zinc finger protein OS=Mus musculus OX=10090 GN=Dnlz PE=1 SV=1"
"7566","P42232","Signal transducer and activator of transcription 5B OS=Mus musculus OX=10090 GN=Stat5b PE=1 SV=1"
"7567","O88697","Serine/threonine-protein kinase 16 OS=Mus musculus OX=10090 GN=Stk16 PE=1 SV=3"
"7568","Q4PJX1","Protein odr-4 homolog OS=Mus musculus OX=10090 GN=Odr4 PE=1 SV=2"
"7569","Q68ED3","Terminal nucleotidyltransferase 4A OS=Mus musculus OX=10090 GN=Tent4b PE=1 SV=2"
"7570","P15208","Insulin receptor OS=Mus musculus OX=10090 GN=Insr PE=1 SV=2"
"7571","Q8K1N1","Calcium-independent phospholipase A2-gamma OS=Mus musculus OX=10090 GN=Pnpla8 PE=1 SV=1"
"7572","Q9QXG4","Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus OX=10090 GN=Acss2 PE=1 SV=2"
"7573","Q8VE52","Opioid growth factor receptor-like protein 1 OS=Mus musculus OX=10090 GN=Ogfrl1 PE=1 SV=2"
"7574","Q6PHN9","Ras-related protein Rab-35 OS=Mus musculus OX=10090 GN=Rab35 PE=1 SV=1"
"7575","Q99M71","Mammalian ependymin-related protein 1 OS=Mus musculus OX=10090 GN=Epdr1 PE=1 SV=1"
"7576","Q3TX08","tRNA (guanine(26)-N(2))-dimethyltransferase OS=Mus musculus OX=10090 GN=Trmt1 PE=1 SV=2"
"7577","P02468","Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2"
"7578","Q52KR2","Leucine-rich repeats and immunoglobulin-like domains protein 2 OS=Mus musculus OX=10090 GN=Lrig2 PE=1 SV=1"
"7579","Q9CWM4","Prefoldin subunit 1 OS=Mus musculus OX=10090 GN=Pfdn1 PE=1 SV=1"
"7580","Q6DFW4","Nucleolar protein 58 OS=Mus musculus OX=10090 GN=Nop58 PE=1 SV=1"
"7581","Q8BJM3","Coiled-coil domain-containing protein R3HCC1L OS=Mus musculus OX=10090 GN=R3hcc1l PE=1 SV=1"
"7582","Q922R5","Serine/threonine-protein phosphatase 4 regulatory subunit 3B OS=Mus musculus OX=10090 GN=Ppp4r3b PE=1 SV=2"
"7583","Q61147","Ceruloplasmin OS=Mus musculus OX=10090 GN=Cp PE=1 SV=2"
"7584","Q8BYH7","TBC1 domain family member 17 OS=Mus musculus OX=10090 GN=Tbc1d17 PE=1 SV=2"
"7585","Q9QWL7","Keratin, type I cytoskeletal 17 OS=Mus musculus OX=10090 GN=Krt17 PE=1 SV=3"
"7586","O88455","7-dehydrocholesterol reductase OS=Mus musculus OX=10090 GN=Dhcr7 PE=1 SV=1"
"7587","Q9DAS9","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Mus musculus OX=10090 GN=Gng12 PE=1 SV=3"
"7588","Q8VCQ3","Nuclear receptor-binding factor 2 OS=Mus musculus OX=10090 GN=Nrbf2 PE=1 SV=1"
"7589","O35387","HCLS1-associated protein X-1 OS=Mus musculus OX=10090 GN=Hax1 PE=1 SV=1"
"7590","Q9D0V7","Receptor-binding cancer antigen expressed on SiSo cells OS=Mus musculus OX=10090 GN=Ebag9 PE=1 SV=2"
"7591","Q8BJ48","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase OS=Mus musculus OX=10090 GN=Nagpa PE=1 SV=2"
"7592","Q3ULJ0","Glycerol-3-phosphate dehydrogenase 1-like protein OS=Mus musculus OX=10090 GN=Gpd1l PE=1 SV=2"
"7593","Q923G2","DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus OX=10090 GN=Polr2h PE=1 SV=3"
"7594","O35664","Interferon alpha/beta receptor 2 OS=Mus musculus OX=10090 GN=Ifnar2 PE=1 SV=2"
"7595","Q60865","Caprin-1 OS=Mus musculus OX=10090 GN=Caprin1 PE=1 SV=2"
"7596","Q9CY28","GTP-binding protein 8 OS=Mus musculus OX=10090 GN=Gtpbp8 PE=2 SV=1"
"7597","Q8BPT6","Mitochondrial inner membrane protease subunit 2 OS=Mus musculus OX=10090 GN=Immp2l PE=1 SV=1"
"7598","Q9CPZ6","ORM1-like protein 3 OS=Mus musculus OX=10090 GN=Ormdl3 PE=2 SV=1"
"7599","P17257","Protein FAM167B OS=Mus musculus OX=10090 GN=Fam167b PE=2 SV=2"
"7600","Q03142","Fibroblast growth factor receptor 4 OS=Mus musculus OX=10090 GN=Fgfr4 PE=1 SV=3"
"7601","Q3TAA7","Serine/threonine-protein kinase 11-interacting protein OS=Mus musculus OX=10090 GN=Stk11ip PE=1 SV=1"
"7602","Q9DAZ9","Abscission/NoCut checkpoint regulator OS=Mus musculus OX=10090 GN=Zfyve19 PE=1 SV=2"
"7603","Q8BJF9","Charged multivesicular body protein 2b OS=Mus musculus OX=10090 GN=Chmp2b PE=1 SV=1"
"7604","Q9D8U8","Sorting nexin-5 OS=Mus musculus OX=10090 GN=Snx5 PE=1 SV=1"
"7605","P97784","Cryptochrome-1 OS=Mus musculus OX=10090 GN=Cry1 PE=1 SV=1"
"7606","P25118","Tumor necrosis factor receptor superfamily member 1A OS=Mus musculus OX=10090 GN=Tnfrsf1a PE=1 SV=1"
"7607","Q9D7N6","39S ribosomal protein L30, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl30 PE=1 SV=1"
"7608","P42703","Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr PE=1 SV=1"
"7609","P16254","Signal recognition particle 14 kDa protein OS=Mus musculus OX=10090 GN=Srp14 PE=1 SV=1"
"7610","Q8R1V4","Transmembrane emp24 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Tmed4 PE=1 SV=1"
"7611","Q5IRJ6","Zinc transporter 9 OS=Mus musculus OX=10090 GN=Slc30a9 PE=1 SV=2"
"7612","Q9DBD5","Proline-, glutamic acid- and leucine-rich protein 1 OS=Mus musculus OX=10090 GN=Pelp1 PE=1 SV=2"
"7613","Q8BIS8","Coiled-coil domain-containing protein 126 OS=Mus musculus OX=10090 GN=Ccdc126 PE=2 SV=1"
"7614","Q3U6N9","UPF0488 protein C8orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1"
"7615","Q61735","Leukocyte surface antigen CD47 OS=Mus musculus OX=10090 GN=Cd47 PE=1 SV=2"
"7616","Q99N87","28S ribosomal protein S5, mitochondrial OS=Mus musculus OX=10090 GN=Mrps5 PE=1 SV=1"
"7617","Q9CQD4","Charged multivesicular body protein 1b-2 OS=Mus musculus OX=10090 GN=Chmp1b2 PE=2 SV=2"
"7618","Q9CR26","Vacuolar protein sorting-associated protein VTA1 homolog OS=Mus musculus OX=10090 GN=Vta1 PE=1 SV=1"
"7619","Q6P9Q6","FK506-binding protein 15 OS=Mus musculus OX=10090 GN=Fkbp15 PE=1 SV=2"
"7620","Q9EQB9","Zinc finger protein 287 OS=Mus musculus OX=10090 GN=Znf287 PE=2 SV=2"
"7621","Q62452","UDP-glucuronosyltransferase 1-9 OS=Mus musculus OX=10090 GN=Ugt1a9 PE=1 SV=3"
"7622","Q9WTP6","Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2 PE=1 SV=5"
"7623","Q3UL36","Arginine and glutamate-rich protein 1 OS=Mus musculus OX=10090 GN=Arglu1 PE=1 SV=2"
"7624","O54950","5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus OX=10090 GN=Prkag1 PE=1 SV=2"
"7625","Q07133","Histone H1t OS=Mus musculus OX=10090 GN=Hist1h1t PE=1 SV=4"
"7626","O54949","Serine/threonine-protein kinase NLK OS=Mus musculus OX=10090 GN=Nlk PE=1 SV=2"
